epd,move,eval,depth,pv,engine
1r4k1/1br3p1/1ppbp3/p2p1q1p/P1PP1Pp1/1P2P1P1/1Q3NBP/2RR2K1 w - -,e3e4,173,40,e3e4 f5f8 b2e2 b8d8 h2h3 h5h4 f2g4,Stockfish 050822
1r4k1/1br3p1/1ppbp3/p2p1q1p/P1PP1Pp1/1P2P1P1/1Q3NBP/2RR2K1 w - -,b2e2,116,40,b2e2 d6a3 c1a1 a3e7 e3e4 f5f7 f2d3,Stockfish 050822
1r4k1/1br3p1/1ppbp3/p2p1q1p/P1PP1Pp1/1P2P1P1/1Q3NBP/2RR2K1 w - -,c4d5,62,40,c4d5 e6d5 e3e4 d5e4 f2e4 d6b4 e4g5,Stockfish 050822
1r4k1/1br3p1/1ppbp3/p2p1q1p/P1PP1Pp1/1P2P1P1/1Q3NBP/2RR2K1 w - -,b2c2,39,40,b2c2 f5c2 c1c2 g7g6 h2h3 g4h3 f2h3,Stockfish 050822
1r4k1/1br3p1/1ppbp3/p2p1q1p/P1PP1Pp1/1P2P1P1/1Q3NBP/2RR2K1 w - -,h2h3,30,40,h2h3 g4h3 g2h3 f5f7 h3g2 f7g6 g1h2,Stockfish 050822
1r4k1/1br3p1/1ppbp3/p2p1q1p/P1PP1Pp1/1P2P1P1/1Q3NBP/2RR2K1 w - -,b2a2,24,40,b2a2 c6c5 c4d5 e6d5 e3e4 d5e4 d4c5,Stockfish 050822
1r4k1/1br3p1/1ppbp3/p2p1q1p/P1PP1Pp1/1P2P1P1/1Q3NBP/2RR2K1 w - -,f2d3,15,40,f2d3 c6c5 c4d5 e6d5 d4c5 d6c5 d3c5,Stockfish 050822
1r4k1/1br3p1/1ppbp3/p2p1q1p/P1PP1Pp1/1P2P1P1/1Q3NBP/2RR2K1 w - -,c1c3,14,40,c1c3 d6b4 c3d3 b8f8 e3e4 f5f7 h2h3,Stockfish 050822
1r4k1/1br3p1/1ppbp3/p2p1q1p/P1PP1Pp1/1P2P1P1/1Q3NBP/2RR2K1 w - -,b2d2,5,40,b2d2 c6c5 d2e2 c5d4 e3d4 b8e8 h2h3,Stockfish 050822
1r4k1/1br3p1/1ppbp3/p2p1q1p/P1PP1Pp1/1P2P1P1/1Q3NBP/2RR2K1 w - -,c4c5,1,40,c4c5 b6c5 d4c5 d6e7 e3e4 f5f6 b2d2,Stockfish 050822
4k2r/p2n3p/4q1pQ/1p2b2P/8/P1P2R2/1P4P1/K4R2 w - -,f1d1,853,40,f1d1 b5b4 a3b4 h8f8 h6h7 f8f3 g2f3,Stockfish 050822
4k2r/p2n3p/4q1pQ/1p2b2P/8/P1P2R2/1P4P1/K4R2 w - -,f3e3,670,40,f3e3 h8f8 f1e1 b5b4 a3b4 f8f5 g2g4,Stockfish 050822
4k2r/p2n3p/4q1pQ/1p2b2P/8/P1P2R2/1P4P1/K4R2 w - -,f1e1,645,40,f1e1 e8d8 h5g6 e6g6 h6h3 h8e8 f3d3,Stockfish 050822
4k2r/p2n3p/4q1pQ/1p2b2P/8/P1P2R2/1P4P1/K4R2 w - -,h6e3,588,40,h6e3 a7a6 e3a7 e8d8 h5h6 h8e8 f3f7,Stockfish 050822
4k2r/p2n3p/4q1pQ/1p2b2P/8/P1P2R2/1P4P1/K4R2 w - -,f3d3,568,40,f3d3 b5b4 c3b4 h8f8 f1f8 d7f8 h6e3,Stockfish 050822
4k2r/p2n3p/4q1pQ/1p2b2P/8/P1P2R2/1P4P1/K4R2 w - -,h6d2,438,40,h6d2 h8g8 d2e2 b5b4 a3b4 g6h5 f1d1,Stockfish 050822
4k2r/p2n3p/4q1pQ/1p2b2P/8/P1P2R2/1P4P1/K4R2 w - -,f3f2,402,40,f3f2 a7a5 f2e2 h8f8 f1d1 f8f7 h5g6,Stockfish 050822
4k2r/p2n3p/4q1pQ/1p2b2P/8/P1P2R2/1P4P1/K4R2 w - -,g2g4,379,40,g2g4 e6g4 h6e3 g4e6 e3e4 e8d8 e4a8,Stockfish 050822
4k2r/p2n3p/4q1pQ/1p2b2P/8/P1P2R2/1P4P1/K4R2 w - -,g2g3,299,40,g2g3 e8d8 f3d3 d8c7 f1e1 a7a6 d3d2,Stockfish 050822
4k2r/p2n3p/4q1pQ/1p2b2P/8/P1P2R2/1P4P1/K4R2 w - -,h5g6,254,40,h5g6 h7g6 h6e3 a7a6 e3e4 e8d8 f3g3,Stockfish 050822
2r2nk1/pp3p2/5qpb/4p1Np/P3P2P/1P2B1P1/2r2P2/2RRQ1K1 w - -,c1c2,63,46,c1c2 c8c2,Stockfish 15
2r2nk1/pp3p2/5qpb/4p1Np/P3P2P/1P2B1P1/2r2P2/2RRQ1K1 w - -,g1g2,42,45,g1g2 c2c1 d1c1 c8c1 e1c1 h6g5 e3g5,Stockfish 15
2r2nk1/pp3p2/5qpb/4p1Np/P3P2P/1P2B1P1/2r2P2/2RRQ1K1 w - -,a4a5,0,45,a4a5 h6g5 h4g5 f6f3 c1c2 c8c2 d1d8,Stockfish 15
2r2nk1/pp3p2/5qpb/4p1Np/P3P2P/1P2B1P1/2r2P2/2RRQ1K1 w - -,e1f1,0,45,e1f1 h6g5 h4g5 f6f3 c1c2 c8c2 d1d8,Stockfish 15
2r2nk1/pp3p2/5qpb/4p1Np/P3P2P/1P2B1P1/2r2P2/2RRQ1K1 w - -,e3a7,0,45,e3a7 h6g5 h4g5 f6f3 c1c2 c8c2 d1d8,Stockfish 15
2r2nk1/pp3p2/5qpb/4p1Np/P3P2P/1P2B1P1/2r2P2/2RRQ1K1 w - -,e3d2,0,45,e3d2 h6g5 c1c2 c8c2 d2g5 f6f3 d1d2,Stockfish 15
2r2nk1/pp3p2/5qpb/4p1Np/P3P2P/1P2B1P1/2r2P2/2RRQ1K1 w - -,c1b1,0,45,c1b1 f8e6 g5e6 h6e3 e1e3 c8c3 d1d8,Stockfish 15
2r2nk1/pp3p2/5qpb/4p1Np/P3P2P/1P2B1P1/2r2P2/2RRQ1K1 w - -,b3b4,0,45,b3b4 h6g5 c1c2 c8c2 h4g5 f6f3 d1d8,Stockfish 15
2r2nk1/pp3p2/5qpb/4p1Np/P3P2P/1P2B1P1/2r2P2/2RRQ1K1 w - -,g5h3,0,45,g5h3 h6e3 c1c2 c8c2 e1e3 f6c6 e3a7,Stockfish 15
2r2nk1/pp3p2/5qpb/4p1Np/P3P2P/1P2B1P1/2r2P2/2RRQ1K1 w - -,d1d3,0,45,d1d3 c2c1 e3c1 f6c6 c1a3 c6c2 a3f8,Stockfish 15
7k/4r1p1/1p1b3p/p4q2/8/P5PP/1P1NQPK1/4R3 w - -,d2e4,190,40,d2e4 d6c5 h3h4 e7e8 e2d3 c5e7 e1e3,Stockfish 050822
7k/4r1p1/1p1b3p/p4q2/8/P5PP/1P1NQPK1/4R3 w - -,e2f3,176,40,e2f3 f5f3 d2f3 e7c7 e1e6 d6c5 h3h4,Stockfish 050822
7k/4r1p1/1p1b3p/p4q2/8/P5PP/1P1NQPK1/4R3 w - -,e2d1,66,40,e2d1 e7e1 d1e1 f5d5 d2f3 d5b5 e1c3,Stockfish 050822
7k/4r1p1/1p1b3p/p4q2/8/P5PP/1P1NQPK1/4R3 w - -,e2f1,0,40,e2f1 f5c2 e1e7 d6e7 f1e2 c2b2 e2e7,Stockfish 050822
7k/4r1p1/1p1b3p/p4q2/8/P5PP/1P1NQPK1/4R3 w - -,e2e7,-545,40,e2e7 d6e7 e1e7 f5c2 d2f3 c2b2 e7e3,Stockfish 050822
7k/4r1p1/1p1b3p/p4q2/8/P5PP/1P1NQPK1/4R3 w - -,d2f3,-1298,40,d2f3 e7e2 e1e2 f5d5 e2d2 d5c6 d2e2,Stockfish 050822
7k/4r1p1/1p1b3p/p4q2/8/P5PP/1P1NQPK1/4R3 w - -,e2c4,-1477,40,e2c4 e7e1 b2b4 e1e8 h3h4 a5b4 a3b4,Stockfish 050822
7k/4r1p1/1p1b3p/p4q2/8/P5PP/1P1NQPK1/4R3 w - -,e2e4,-1533,40,e2e4 e7e4 d2e4 d6e5 b2b4 e5b2 g3g4,Stockfish 050822
7k/4r1p1/1p1b3p/p4q2/8/P5PP/1P1NQPK1/4R3 w - -,e2a6,-1558,40,e2a6 e7e1 d2f3 e1e8 a6c4 f5e4 c4e4,Stockfish 050822
7k/4r1p1/1p1b3p/p4q2/8/P5PP/1P1NQPK1/4R3 w - -,d2f1,-1647,40,d2f1 e7e2 e1e2 f5d5 g2g1 d6c5 e2d2,Stockfish 050822
r3k2r/1bq1bpp1/p4n2/2p1pP2/2NpP2p/3B4/PPP3PP/R1B1QR1K b k -,e8f8,-79,40,e8f8 c1d2 a8e8 e1e2 f8g8 f1f3 f6h7,Stockfish 15
r3k2r/1bq1bpp1/p4n2/2p1pP2/2NpP2p/3B4/PPP3PP/R1B1QR1K b k -,e7d8,-87,40,e7d8 h1g1 e8f8 a2a4 h4h3 g2g3 a8c8,Stockfish 15
r3k2r/1bq1bpp1/p4n2/2p1pP2/2NpP2p/3B4/PPP3PP/R1B1QR1K b k -,h4h3,-93,40,h4h3 g2g3 f6h7 e1e2 e7g5 e2g4 f7f6,Stockfish 15
r3k2r/1bq1bpp1/p4n2/2p1pP2/2NpP2p/3B4/PPP3PP/R1B1QR1K b k -,a8c8,-101,40,a8c8 e1e2 e8f8 c1d2 c8e8 a2a4 e7d8,Stockfish 15
r3k2r/1bq1bpp1/p4n2/2p1pP2/2NpP2p/3B4/PPP3PP/R1B1QR1K b k -,f6h7,-104,40,f6h7 h2h3 e8f8 c1d2 a8e8 a2a4 h7f6,Stockfish 15
r3k2r/1bq1bpp1/p4n2/2p1pP2/2NpP2p/3B4/PPP3PP/R1B1QR1K b k -,a8b8,-104,40,a8b8 c1d2 e8f8 e1e2 b8e8 a2a4 e7d8,Stockfish 15
r3k2r/1bq1bpp1/p4n2/2p1pP2/2NpP2p/3B4/PPP3PP/R1B1QR1K b k -,b7c6,-108,40,b7c6 e1e2 h4h3 g2g3 e8f8 c1d2 a8e8,Stockfish 15
r3k2r/1bq1bpp1/p4n2/2p1pP2/2NpP2p/3B4/PPP3PP/R1B1QR1K b k -,a8a7,-114,40,a8a7 b2b3 e8f8 c1d2 h4h3 g2g3 f8g8,Stockfish 15
r3k2r/1bq1bpp1/p4n2/2p1pP2/2NpP2p/3B4/PPP3PP/R1B1QR1K b k -,a6a5,-120,40,a6a5 a2a4 b7a6 e1e2 e8f8 c1d2 a8a7,Stockfish 15
r3k2r/1bq1bpp1/p4n2/2p1pP2/2NpP2p/3B4/PPP3PP/R1B1QR1K b k -,h8h7,-128,40,h8h7 c1d2 e8f8 d2a5 c7c6 c4e5 c6e8,Stockfish 15
3rr1k1/pb1n1pp1/2q2b1p/2p5/2P1p2N/1P2B1P1/P1QR1PBP/3R2K1 b - -,d7e5,12,40,d7e5 d2d8 f6d8 h4f5 d8c7 e3f4 e5f3,Stockfish 050822
3rr1k1/pb1n1pp1/2q2b1p/2p5/2P1p2N/1P2B1P1/P1QR1PBP/3R2K1 b - -,f6h4,-70,40,f6h4 d2d6 c6c7 g3h4 d7e5 d6d8 e8d8,Stockfish 050822
3rr1k1/pb1n1pp1/2q2b1p/2p5/2P1p2N/1P2B1P1/P1QR1PBP/3R2K1 b - -,g7g6,-237,40,g7g6 d2d6 c6c7 e3f4 f6e5 f4e5 d7e5,Stockfish 050822
3rr1k1/pb1n1pp1/2q2b1p/2p5/2P1p2N/1P2B1P1/P1QR1PBP/3R2K1 b - -,h6h5,-253,40,h6h5 d2d6 c6c7 e3f4 d7e5 d6d8 e8d8,Stockfish 050822
3rr1k1/pb1n1pp1/2q2b1p/2p5/2P1p2N/1P2B1P1/P1QR1PBP/3R2K1 b - -,d7f8,-283,40,d7f8 h4f5 f8e6 d2d8 e8d8 d1d8 f6d8,Stockfish 050822
3rr1k1/pb1n1pp1/2q2b1p/2p5/2P1p2N/1P2B1P1/P1QR1PBP/3R2K1 b - -,a7a6,-285,40,a7a6 h4f5 d7e5 f5d6 d8d6 d2d6 c6c8,Stockfish 050822
3rr1k1/pb1n1pp1/2q2b1p/2p5/2P1p2N/1P2B1P1/P1QR1PBP/3R2K1 b - -,c6c7,-294,40,c6c7 h4f5 d7e5 f5d6 d8d6 d2d6 c7c8,Stockfish 050822
3rr1k1/pb1n1pp1/2q2b1p/2p5/2P1p2N/1P2B1P1/P1QR1PBP/3R2K1 b - -,a7a5,-308,40,a7a5 h4f5 d7e5 f5d6 d8d6 d2d6 c6c8,Stockfish 050822
3rr1k1/pb1n1pp1/2q2b1p/2p5/2P1p2N/1P2B1P1/P1QR1PBP/3R2K1 b - -,c6c8,-310,40,c6c8 g2h3 b7c6 h4f5 c8c7 f5d6 d7e5,Stockfish 050822
3rr1k1/pb1n1pp1/2q2b1p/2p5/2P1p2N/1P2B1P1/P1QR1PBP/3R2K1 b - -,b7a8,-357,40,b7a8 h4f5 d7e5 f5d6 d8d6 d2d6 c6c8,Stockfish 050822
5k2/5p2/3p2p1/p3q1P1/6b1/P1NR4/1PP2r2/1KQ5 b - -,g4e6,44,47,g4e6 d3d1 e5c5 c3e4 c5c4 e4c3 e6g4,Stockfish 15
5k2/5p2/3p2p1/p3q1P1/6b1/P1NR4/1PP2r2/1KQ5 b - -,e5h2,43,47,e5h2,Stockfish 15
5k2/5p2/3p2p1/p3q1P1/6b1/P1NR4/1PP2r2/1KQ5 b - -,g4f5,2,46,g4f5 d3d2 f2f3 d2d5 e5h2 d5d2 h2f4,Stockfish 15
5k2/5p2/3p2p1/p3q1P1/6b1/P1NR4/1PP2r2/1KQ5 b - -,f2h2,0,46,f2h2 d3e3 e5c5 c3e4 c5c6 e4f6 g4e6,Stockfish 15
5k2/5p2/3p2p1/p3q1P1/6b1/P1NR4/1PP2r2/1KQ5 b - -,e5f5,0,46,e5f5 d3e3 f2f1 e3e1 f1e1 c1e1 f5g5,Stockfish 15
5k2/5p2/3p2p1/p3q1P1/6b1/P1NR4/1PP2r2/1KQ5 b - -,f2f5,0,46,f2f5 d3d5 e5h2 d5d2 h2h4 d2d5 f5d5,Stockfish 15
5k2/5p2/3p2p1/p3q1P1/6b1/P1NR4/1PP2r2/1KQ5 b - -,f2g2,0,46,f2g2 d3d2 g2g3 d2d5 e5e6 d5d3 g3d3,Stockfish 15
5k2/5p2/3p2p1/p3q1P1/6b1/P1NR4/1PP2r2/1KQ5 b - -,a5a4,0,46,a5a4 d3d2 f2f5 d2d5 e5h2 d5d4 h2g2,Stockfish 15
5k2/5p2/3p2p1/p3q1P1/6b1/P1NR4/1PP2r2/1KQ5 b - -,g4d7,0,46,g4d7 d3e3 e5h2 c3e4 f2f5 e3e1 d7e6,Stockfish 15
5k2/5p2/3p2p1/p3q1P1/6b1/P1NR4/1PP2r2/1KQ5 b - -,e5f4,0,46,e5f4 c1f4 f2f4 d3d6 g4e6 b1c1 f4g4,Stockfish 15
1k6/1r3p2/3p1b1p/pprPpPpP/5qP1/PRPB1Q2/1P6/1K2R3 w - -,f3g2,161,43,f3g2 f4a4,Stockfish 15
1k6/1r3p2/3p1b1p/pprPpPpP/5qP1/PRPB1Q2/1P6/1K2R3 w - -,f3e2,86,42,f3e2 f4a4 b1a2 e5e4 d3e4 b7e7 e2f3,Stockfish 15
1k6/1r3p2/3p1b1p/pprPpPpP/5qP1/PRPB1Q2/1P6/1K2R3 w - -,f3d1,16,42,f3d1 f4f2 b1a2 f6d8 a3a4 c5d5 d1e2,Stockfish 15
1k6/1r3p2/3p1b1p/pprPpPpP/5qP1/PRPB1Q2/1P6/1K2R3 w - -,f3h3,0,42,f3h3 f4f2 h3h1 f6d8 f5f6 a5a4 b3b4,Stockfish 15
1k6/1r3p2/3p1b1p/pprPpPpP/5qP1/PRPB1Q2/1P6/1K2R3 w - -,f3f1,0,42,f3f1 f4f1 d3f1 b8a7 e1c1 e5e4 f1g2,Stockfish 15
1k6/1r3p2/3p1b1p/pprPpPpP/5qP1/PRPB1Q2/1P6/1K2R3 w - -,d3e4,0,42,d3e4 f4f3 e4f3 f6d8 a3a4 b5b4 b1c2,Stockfish 15
1k6/1r3p2/3p1b1p/pprPpPpP/5qP1/PRPB1Q2/1P6/1K2R3 w - -,d3e2,0,42,d3e2 e5e4 f3g2 f4d2 e1d1 d2e3 e2f1,Stockfish 15
1k6/1r3p2/3p1b1p/pprPpPpP/5qP1/PRPB1Q2/1P6/1K2R3 w - -,e1e3,-6,42,e1e3 f4f3 e3f3 f6d8 f5f6 b8a7 a3a4,Stockfish 15
1k6/1r3p2/3p1b1p/pprPpPpP/5qP1/PRPB1Q2/1P6/1K2R3 w - -,e1f1,-8,42,e1f1 f4f3 f1f3 f6d8 f5f6 b8a7 a3a4,Stockfish 15
1k6/1r3p2/3p1b1p/pprPpPpP/5qP1/PRPB1Q2/1P6/1K2R3 w - -,f3e4,-19,42,f3e4 f4e4 d3e4 f6d8 e4f3 f7f6 b1c2,Stockfish 15
rqr3k1/4bpp1/pBbp1n1p/Pp2p3/3PPP2/2N1QNP1/1P4P1/R4R1K w - -,f4e5,491,40,f4e5 f6d7 d4d5 c6b7 e5e6 f7e6 d5e6,Stockfish 050822
rqr3k1/4bpp1/pBbp1n1p/Pp2p3/3PPP2/2N1QNP1/1P4P1/R4R1K w - -,d4e5,268,40,d4e5 f6g4 e3d4 d6e5 f4e5 c8e8 c3d5,Stockfish 050822
rqr3k1/4bpp1/pBbp1n1p/Pp2p3/3PPP2/2N1QNP1/1P4P1/R4R1K w - -,d4d5,0,40,d4d5 c6d7 c3d1 f6g4 e3d3 b5b4 d3d2,Stockfish 050822
rqr3k1/4bpp1/pBbp1n1p/Pp2p3/3PPP2/2N1QNP1/1P4P1/R4R1K w - -,a1e1,-12,40,a1e1 f6g4 e3d2 b5b4 c3d5 c6d5 e4d5,Stockfish 050822
rqr3k1/4bpp1/pBbp1n1p/Pp2p3/3PPP2/2N1QNP1/1P4P1/R4R1K w - -,e3e1,-59,40,e3e1 b5b4 d4e5 d6e5 f4e5 b4c3 e5f6,Stockfish 050822
rqr3k1/4bpp1/pBbp1n1p/Pp2p3/3PPP2/2N1QNP1/1P4P1/R4R1K w - -,b2b4,-71,40,b2b4 e5f4 g3f4 c6b7 d4d5 c8c4 a1b1,Stockfish 050822
rqr3k1/4bpp1/pBbp1n1p/Pp2p3/3PPP2/2N1QNP1/1P4P1/R4R1K w - -,f3h4,-85,40,f3h4 b5b4 c3d5 f6d5 e4d5 c6d5 d4e5,Stockfish 050822
rqr3k1/4bpp1/pBbp1n1p/Pp2p3/3PPP2/2N1QNP1/1P4P1/R4R1K w - -,f3d2,-95,40,f3d2 e5d4 b6d4 b8b7 f1e1 c8e8 c3d1,Stockfish 050822
rqr3k1/4bpp1/pBbp1n1p/Pp2p3/3PPP2/2N1QNP1/1P4P1/R4R1K w - -,a1b1,-103,40,a1b1 b5b4 f4e5 d6e5 d4e5 b4c3 e5f6,Stockfish 050822
rqr3k1/4bpp1/pBbp1n1p/Pp2p3/3PPP2/2N1QNP1/1P4P1/R4R1K w - -,a1c1,-123,40,a1c1 b5b4 f4e5 f6g4 e3f4 b4c3 f4g4,Stockfish 050822
3r2rk/1p3Rpb/2nBp2p/p1P5/1pB1q3/1P2Q2P/5RPK/8 w - -,e3g3,264,40,e3g3 a5a4 f7b7 a4a3 b7b6 c6d4 f2f4,Stockfish 050822
3r2rk/1p3Rpb/2nBp2p/p1P5/1pB1q3/1P2Q2P/5RPK/8 w - -,e3c1,66,40,e3c1 e4d4 c1f4 d4f4 f2f4 g7g5 f4d4,Stockfish 050822
3r2rk/1p3Rpb/2nBp2p/p1P5/1pB1q3/1P2Q2P/5RPK/8 w - -,e3f4,60,40,e3f4 e4f4 f2f4 g7g5 f4d4 d8c8 d6g3,Stockfish 050822
3r2rk/1p3Rpb/2nBp2p/p1P5/1pB1q3/1P2Q2P/5RPK/8 w - -,f2e2,48,40,f2e2 e4e3 e2e3 a5a4 b3a4 c6a5 c4b5,Stockfish 050822
3r2rk/1p3Rpb/2nBp2p/p1P5/1pB1q3/1P2Q2P/5RPK/8 w - -,e3e4,41,40,e3e4 h7e4 c4e6 g8e8 e6d7 e8g8 d7g4,Stockfish 050822
3r2rk/1p3Rpb/2nBp2p/p1P5/1pB1q3/1P2Q2P/5RPK/8 w - -,e3e2,0,40,e3e2 e4e2 c4e2 h7e4 e2c4 e4d5 c4d5,Stockfish 050822
3r2rk/1p3Rpb/2nBp2p/p1P5/1pB1q3/1P2Q2P/5RPK/8 w - -,e3f3,0,40,e3f3 e4f3 g2f3 b7b6 d6c7 h7g6 c7d8,Stockfish 050822
3r2rk/1p3Rpb/2nBp2p/p1P5/1pB1q3/1P2Q2P/5RPK/8 w - -,e3d2,0,40,e3d2 c6e5 f7c7 e5c4 b3c4 e6e5 f2e2,Stockfish 050822
3r2rk/1p3Rpb/2nBp2p/p1P5/1pB1q3/1P2Q2P/5RPK/8 w - -,f2f3,-42,40,f2f3 b7b5 c4b5 c6d4 b5a4 d4f3 e3f3,Stockfish 050822
3r2rk/1p3Rpb/2nBp2p/p1P5/1pB1q3/1P2Q2P/5RPK/8 w - -,f7f3,-329,40,f7f3 a5a4 e3e4 h7e4 f3f4 e4d5 b3a4,Stockfish 050822
r3qrk1/1p4bp/1n1p1p1n/pPpPp1p1/P3P3/1P1N3P/3B1PP1/2QBRRK1 w - -,h3h4,382,40,h3h4 e8g6 h4g5 f6g5 d2g5 g8h8 g5e7,Stockfish 050822
r3qrk1/1p4bp/1n1p1p1n/pPpPp1p1/P3P3/1P1N3P/3B1PP1/2QBRRK1 w - -,d3b2,315,40,d3b2 f6f5 d2g5 f5f4 g5h6 g7h6 d1g4,Stockfish 050822
r3qrk1/1p4bp/1n1p1p1n/pPpPp1p1/P3P3/1P1N3P/3B1PP1/2QBRRK1 w - -,g1h2,315,40,g1h2 e8g6 d1c2 g6f7 d3b2 f6f5 d2g5,Stockfish 050822
r3qrk1/1p4bp/1n1p1p1n/pPpPp1p1/P3P3/1P1N3P/3B1PP1/2QBRRK1 w - -,d1c2,313,40,d1c2 g8h8 d3b2 e8h5 c2d1 h5g6 d1f3,Stockfish 050822
r3qrk1/1p4bp/1n1p1p1n/pPpPp1p1/P3P3/1P1N3P/3B1PP1/2QBRRK1 w - -,f2f3,290,40,f2f3 g8h8 d2c3 e8d8 d3b2 f6f5 c1d2,Stockfish 050822
r3qrk1/1p4bp/1n1p1p1n/pPpPp1p1/P3P3/1P1N3P/3B1PP1/2QBRRK1 w - -,d1f3,280,40,d1f3 g8h8 g2g3 e8g6 g1h2 g6e8 d3b2,Stockfish 050822
r3qrk1/1p4bp/1n1p1p1n/pPpPp1p1/P3P3/1P1N3P/3B1PP1/2QBRRK1 w - -,g2g3,276,40,g2g3 e8g6 d1f3 g8h8 g1h2 g6e8 d3b2,Stockfish 050822
r3qrk1/1p4bp/1n1p1p1n/pPpPp1p1/P3P3/1P1N3P/3B1PP1/2QBRRK1 w - -,g1h1,259,40,g1h1 e8g6 d3b2 g8h8 g2g4 g6e8 e1e3,Stockfish 050822
r3qrk1/1p4bp/1n1p1p1n/pPpPp1p1/P3P3/1P1N3P/3B1PP1/2QBRRK1 w - -,d1e2,228,40,d1e2 e8g6 e2f3 g5g4 h3g4 h6g4 c1d1,Stockfish 050822
r3qrk1/1p4bp/1n1p1p1n/pPpPp1p1/P3P3/1P1N3P/3B1PP1/2QBRRK1 w - -,d2e3,198,40,d2e3 e8g6 g2g4 g6e8 h3h4 e8g6 h4h5,Stockfish 050822
4r3/p4rk1/1p4p1/3Rp1q1/4P2p/2Q2P2/P5PP/3R1K2 w - -,h2h3,52,50,h2h3 e8e7 f1g1 g5g3 a2a3 g7h6 d5d8,Stockfish 15
4r3/p4rk1/1p4p1/3Rp1q1/4P2p/2Q2P2/P5PP/3R1K2 w - -,d5d7,15,50,d5d7 e8e7 d7e7 g5e7 d1d5 e7c7 c3e5,Stockfish 15
4r3/p4rk1/1p4p1/3Rp1q1/4P2p/2Q2P2/P5PP/3R1K2 w - -,d1d3,0,50,d1d3 h4h3 g2g3 e8e7 f1f2 e7c7 c3b2,Stockfish 15
4r3/p4rk1/1p4p1/3Rp1q1/4P2p/2Q2P2/P5PP/3R1K2 w - -,f1f2,0,49,f1f2 h4h3 g2g3 g5g4 d5d7 f7d7 f3g4,Stockfish 15
4r3/p4rk1/1p4p1/3Rp1q1/4P2p/2Q2P2/P5PP/3R1K2 w - -,d1d2,0,49,d1d2 g5f4 f1g1 h4h3 d5d3 b6b5 c3c6,Stockfish 15
4r3/p4rk1/1p4p1/3Rp1q1/4P2p/2Q2P2/P5PP/3R1K2 w - -,d5d3,0,49,d5d3 e8e7 c3d2 g5d2 d1d2 e7c7 g2g3,Stockfish 15
4r3/p4rk1/1p4p1/3Rp1q1/4P2p/2Q2P2/P5PP/3R1K2 w - -,f1g1,0,49,f1g1 h4h3 c3d2 g5f6 d5d6 e8e6 d6d7,Stockfish 15
4r3/p4rk1/1p4p1/3Rp1q1/4P2p/2Q2P2/P5PP/3R1K2 w - -,c3d2,0,49,c3d2 g5f4 d2f4 e5f4 a2a4 e8c8 f1e2,Stockfish 15
4r3/p4rk1/1p4p1/3Rp1q1/4P2p/2Q2P2/P5PP/3R1K2 w - -,c3c1,0,49,c3c1 g5c1 d1c1 e8e7 d5d3 a7a5 g2g3,Stockfish 15
4r3/p4rk1/1p4p1/3Rp1q1/4P2p/2Q2P2/P5PP/3R1K2 w - -,d5d2,0,49,d5d2 e8e7 h2h3 e7c7 c3b3 c7c8 d2c2,Stockfish 15
1rr2qk1/3p1pp1/1pb2n1p/4p3/p1P1P2P/P1NQ1BP1/1P3PK1/2RR4 w - -,g2g1,51,40,g2g1 g7g6 f3g2 g8g7 d3e2 f8c5 g2h3,Stockfish 050822
1rr2qk1/3p1pp1/1pb2n1p/4p3/p1P1P2P/P1NQ1BP1/1P3PK1/2RR4 w - -,c1c2,50,40,c1c2 f8c5 d1d2 g7g6 d3e2 g8g7 g2g1,Stockfish 050822
1rr2qk1/3p1pp1/1pb2n1p/4p3/p1P1P2P/P1NQ1BP1/1P3PK1/2RR4 w - -,d3e2,39,40,d3e2 f6e8 c3b5 f8c5 c1c3 e8c7 b5d6,Stockfish 050822
1rr2qk1/3p1pp1/1pb2n1p/4p3/p1P1P2P/P1NQ1BP1/1P3PK1/2RR4 w - -,c3b5,26,40,c3b5 b8a8 c1c2 a8a5 d1d2 c8b8 g2g1,Stockfish 050822
1rr2qk1/3p1pp1/1pb2n1p/4p3/p1P1P2P/P1NQ1BP1/1P3PK1/2RR4 w - -,d3f1,25,40,d3f1 f6e8 f1d3 e8c7 c3b5 f8c5 b5a7,Stockfish 050822
1rr2qk1/3p1pp1/1pb2n1p/4p3/p1P1P2P/P1NQ1BP1/1P3PK1/2RR4 w - -,c1b1,25,40,c1b1 f6e8 b1c1 e8c7 c3b5 f8c5 b5a7,Stockfish 050822
1rr2qk1/3p1pp1/1pb2n1p/4p3/p1P1P2P/P1NQ1BP1/1P3PK1/2RR4 w - -,d1e1,23,40,d1e1 f6e8 e1d1 e8c7 c3b5 f8c5 b5a7,Stockfish 050822
1rr2qk1/3p1pp1/1pb2n1p/4p3/p1P1P2P/P1NQ1BP1/1P3PK1/2RR4 w - -,g2h2,20,40,g2h2 b8a8 f3g2 a8a5 d1d2 a5c5 c1d1,Stockfish 050822
1rr2qk1/3p1pp1/1pb2n1p/4p3/p1P1P2P/P1NQ1BP1/1P3PK1/2RR4 w - -,d1f1,19,40,d1f1 f6e8 f1d1 e8c7 c3b5 f8c5 b5a7,Stockfish 050822
1rr2qk1/3p1pp1/1pb2n1p/4p3/p1P1P2P/P1NQ1BP1/1P3PK1/2RR4 w - -,g2f1,17,40,g2f1 b8a8 c3d5 c6d5 c4d5 g7g6 c1c8,Stockfish 050822
