index,epd,old bm,sts_v6,old id,new id,test,depth,by,status,date,output file,updated by,update date,update depth,epd index check,comment,Reviewed by,Replace,Duplicate,unix analysis Time (sec) AMD 5950x 32t 16gb hash,ferdy analysis Time (sec) i7-2600 4t 512mb hash
417,2krr3/pp1qbp2/4b3/1P2P2p/P1pPB1pN/4B1Q1/5PPP/3R2K1 b - -,e7h4,yes,STS(v5.0) Bishop vs Knight.020,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,301,
418,2n2rk1/p2b2bp/3p2p1/q1pPp2n/P1P1P3/1QN5/3BBNPP/1R4K1 w - -,e2h5,,STS(v5.0) Bishop vs Knight.021,,sts_old,40,unix,done,2022-11-17,yes,,,,ok,,,,,522,
419,2q3k1/1b4r1/p2np2p/QnBpN3/3P1pPp/1P1BP3/8/R5K1 w - -,d3b5,yes,STS(v5.0) Bishop vs Knight.022,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,601,
420,2r1r1k1/1q1bp1bp/3p2p1/1pnP4/3NB3/1P2BP2/3Q2PP/1RR3K1 b - -,c5e4,yes,STS(v5.0) Bishop vs Knight.023,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,124,
421,2r1r1k1/pp1q1pbp/2npbnp1/4p1N1/1P2P3/2P2N1P/P4PP1/R1BQRBK1 w - -,g5e6,yes,STS(v5.0) Bishop vs Knight.024,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,There is new bm,ferdy,yes,,452,
422,2r2nk1/1b3ppp/p2q1n2/1p1p4/3B1P1Q/1P1NP1P1/P5BP/2R3K1 w - -,d4f6,,STS(v5.0) Bishop vs Knight.025,,sts_old,40,unix,done,2022-11-17,yes,ferdy,2022-12-2,44,ok,,,,,180,1800
423,2r2rk1/4bp2/p6p/1p1R4/3nn1p1/4P1B1/PP1NBPPP/4R1K1 b - -,d4e2,yes,STS(v5.0) Bishop vs Knight.026,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,1053,
424,2r2rk1/p2qbppp/5n2/3p1N2/1p2n3/1NP1BQ2/PP3PPP/R4RK1 w - -,f5e7,yes,STS(v5.0) Bishop vs Knight.027,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,364,
425,2r5/2q2pk1/3n1b1p/3Pp1p1/b1B1P1N1/P4N2/5PPP/2Q2RK1 w - -,g4f6,yes,STS(v5.0) Bishop vs Knight.028,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,881,
426,2r5/3n2k1/5p2/Pp2nB1r/1B1pP2P/P1pP2P1/6K1/3R2R1 w - -,f5d7,yes,STS(v5.0) Bishop vs Knight.029,,sts_old,40,unix,done,2022-10-31,yes,ferdy,2022-11-29,49,ok,,,,,50,1200
427,2rq1rk1/1b2bppp/p3p3/n7/3P4/1BBQ1N1P/P4PP1/R3R1K1 b - -,a5b3,yes,STS(v5.0) Bishop vs Knight.030,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,178,
428,2rq1rk1/1p1npp1p/p2pb1p1/3N4/3QP3/1BP2P2/PP4PP/R4R1K b - -,e6d5,yes,STS(v5.0) Bishop vs Knight.031,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,348,
429,2rq1rk1/1p1nppbp/p2pn1p1/6B1/2P1P3/1PN1Q1PP/P4PB1/2R2RK1 b - -,e6g5,yes,STS(v5.0) Bishop vs Knight.032,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,264,
430,2rq1rk1/3bppbp/p4np1/n3Q3/Np6/1B3N1P/PPP2PP1/R1BR2K1 b - -,a5b3,yes,STS(v5.0) Bishop vs Knight.033,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,192,
431,2rq1rk1/4bppp/p1p1pn2/1p1b4/3P4/2NB1NQ1/PPP2PPP/1K1RR3 b - -,d5f3,yes,STS(v5.0) Bishop vs Knight.034,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,482,
432,2rq1rk1/pp1bppbp/3p1np1/8/2nNP3/1BN1BP2/PPP2QPP/R4RK1 w - -,b3c4,yes,STS(v5.0) Bishop vs Knight.035,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,552,
433,2rqr1k1/1b3p1p/pn1p1bpB/2p5/3P4/1P3N1P/P2QBPP1/2RR2K1 b - -,b7f3,yes,STS(v5.0) Bishop vs Knight.036,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,There is new bm,ferdy,yes,,310,
434,2rqr1k1/1b3ppp/3b2n1/p2pN3/1p1P1B2/3BPP1P/P2Q2P1/1R1R2K1 b - -,g6f4,yes,STS(v5.0) Bishop vs Knight.037,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,329,
435,2rr2k1/ppq1pp1p/2npbnpB/8/2PNP3/1QP2P2/P3B1PP/R4RK1 w - -,d4e6,yes,STS(v5.0) Bishop vs Knight.038,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,435,
436,2rr4/p3q1pk/bn2p2p/2b1Pp2/1pN4P/1P4Q1/P2BBPP1/2RR2K1 b - -,a6c4,yes,STS(v5.0) Bishop vs Knight.039,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,265,
437,3b1k2/1b3p1p/pP4p1/3p4/1p1PnBP1/1K3B2/PP2N2P/8 w - -,f3e4,yes,STS(v5.0) Bishop vs Knight.040,,sts_old,40,unix,done,2022-10-31,yes,ferdy,2022-11-29,47,ok,,,,,61,1200
438,3qr2k/p5r1/1pRp1n1b/1P1Pp2p/1P3p1P/2N1nP1Q/1R3BP1/5BK1 w - -,f2e3,yes,STS(v5.0) Bishop vs Knight.041,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,841,
439,3r1rk1/1b2p1bp/pp6/4Pp1n/B2n4/2NNBP1p/PP3KPP/3RR3 w - -,e3d4,yes,STS(v5.0) Bishop vs Knight.042,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,199,
440,3r2k1/1b3ppp/1p2pq2/p7/2P5/1Pn1QNP1/4PPBP/4R1K1 b - -,b7f3,yes,STS(v5.0) Bishop vs Knight.043,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,872,
441,3r2k1/5p1p/p2qn1p1/P3N1r1/1P1pb1B1/2nN3P/5PPQ/2R1R2K b - -,e4d3,yes,STS(v5.0) Bishop vs Knight.044,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,There is new bm,ferdy,yes,,599,
442,3r2k1/pr2bpp1/6bp/3nN3/2R3P1/4B2P/P3BP2/3R2K1 b - -,d5e3,yes,STS(v5.0) Bishop vs Knight.045,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,430,
443,3rk2r/1p2bp2/p1n1q2p/3pPbp1/3B4/2P3Q1/BN3PPP/R3R1K1 b k -,c6d4,yes,STS(v5.0) Bishop vs Knight.046,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,207,
444,3rr1k1/p1p1p1bp/2p2pp1/3bP3/5P2/BPP2N2/P5PP/4RRK1 b - -,d5f3,yes,STS(v5.0) Bishop vs Knight.047,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,293,
445,3rr3/p3b1kp/2p2pp1/1q1npb2/4N1PB/1NP2Q2/PP3P1P/R2R2K1 b - -,f5e4,,STS(v5.0) Bishop vs Knight.048,,sts_old,40,unix,done,2022-11-17,yes,,,,ok,new bm,ferdy,yes,,1100,
446,4qr1k/2bn1p1p/2N1p3/p2nP3/NpRQ1B2/1P4PP/P6K/8 b - -,d5f4,yes,STS(v5.0) Bishop vs Knight.049,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,162,
447,4r1k1/p4bp1/1p1p1p2/1P1N2n1/4P1P1/4qP1P/P4RQ1/5BK1 b - -,f7d5,yes,STS(v5.0) Bishop vs Knight.050,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,18010,
448,4r1k1/p4p1p/1p2q1pB/1Q2Pn2/P3B2P/5P2/bR3P2/6K1 w - -,e4f5,yes,STS(v5.0) Bishop vs Knight.051,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,165,
449,4r1k1/pb6/2pbpp1B/2N2p2/3P4/1P6/P4KPP/R7 b - -,d6c5,yes,STS(v5.0) Bishop vs Knight.052,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,1437,
450,4r3/1p2rpk1/p1p1bqp1/2QnN1bp/1B1PB3/P6P/1P2RPP1/4R1K1 b - -,d5b4,yes,STS(v5.0) Bishop vs Knight.053,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,134,
451,4r3/5pkp/2b1n1p1/3p3n/p1pP4/P1N1BP1B/1P3KPP/2R5 w - -,h3e6,yes,STS(v5.0) Bishop vs Knight.054,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,262,
452,4rrk1/2q3pp/pp1p1bn1/2nR4/2P2B2/N4PP1/PP3Q1P/3R1BK1 b - -,g6f4,yes,STS(v5.0) Bishop vs Knight.055,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,1824,
453,5k2/p2b3r/1ppb1p2/1q1p1P2/1P1PrNpP/4P1P1/1RQ2BK1/2R5 b - -,d6f4,yes,STS(v5.0) Bishop vs Knight.056,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,191,
454,5k2/p2q2p1/bp1p1p1p/3PnP1Q/1P1BP3/2P5/3N2P1/6K1 w - -,d4e5,,STS(v5.0) Bishop vs Knight.057,,sts_old,40,unix,done,2022-11-17,yes,ferdy,2022-11-29,46,ok,,,,,117,1200
455,6k1/r2rbpp1/p1q2n2/1pp2PB1/5Q2/1PN1R2P/1P3P2/4R1K1 w - -,g5f6,yes,STS(v5.0) Bishop vs Knight.058,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,170,
456,6k1/r6p/2pb1ppn/p1Np4/1P1PrPP1/P6P/2R5/3K1RB1 b - -,d6c5,yes,STS(v5.0) Bishop vs Knight.059,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,3307,
457,6n1/p6k/2R5/2p1rp2/p1P1n3/P3PB1P/5PP1/6K1 w - -,f3e4,yes,STS(v5.0) Bishop vs Knight.060,,sts_old,40,unix,done,2022-10-31,yes,ferdy,2022-11-29,48,ok,,,,,67,1200
458,6r1/r2Nbnk1/2R3pp/p4p2/PpB2PP1/1P6/6K1/3R4 w - -,c4f7,yes,STS(v5.0) Bishop vs Knight.061,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,687,
459,8/1R3pp1/p3rnk1/3pBb1p/3P3P/1B1P1PP1/5K2/8 w - -,e5f6,yes,STS(v5.0) Bishop vs Knight.062,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,256,
460,8/5p1k/2p3pp/2p1p3/2P2nPP/2Q2P2/1P1B1K2/q7 w - -,d2f4,yes,STS(v5.0) Bishop vs Knight.063,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,1788,
461,8/6k1/4ppp1/r2Pn2p/bpq1PB1P/6P1/R4PK1/1QN5 w - -,f4e5,yes,STS(v5.0) Bishop vs Knight.064,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,1701,
462,8/r2b1nk1/Np1qp2p/pP1pNrpP/Pp1P4/3Q1PP1/2R3K1/7R w - -,e5d7,yes,STS(v5.0) Bishop vs Knight.065,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,3231,
463,q1r1r1k1/p2nppbp/1pnpb1p1/6N1/1PP1P3/P1N1Q2P/4BPPB/1R1R2K1 w - -,g5e6,yes,STS(v5.0) Bishop vs Knight.066,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,There is new bm.,ferdy,yes,,771,
464,q5k1/1pbb2pn/2ppNr1p/p3rP2/P1P1pNB1/1P5P/5PP1/1RQR2K1 b - -,d7e6,yes,STS(v5.0) Bishop vs Knight.067,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,1330,
465,r1b1r1k1/p1qn1ppp/2pb1n2/4pN2/Np2P3/7P/PPQ1BPP1/R1B2RK1 w - -,f5d6,yes,STS(v5.0) Bishop vs Knight.068,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,282,
466,r1b1r1k1/ppq2ppp/2n5/3p4/P1pPn3/B1P1PN2/2B2PPP/R2Q1RK1 w - -,c2e4,yes,STS(v5.0) Bishop vs Knight.069,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,375,
467,r1b2rk1/p3qppp/1pn5/2b5/3pN3/5NP1/PP2PPBP/R2Q1RK1 w - -,e4c5,yes,STS(v5.0) Bishop vs Knight.070,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,257,
468,r1bq2k1/pp3rbp/2n1p1p1/1BBpPn2/8/2N2N1P/PP3PP1/R2Q1RK1 w - -,b5c6,yes,STS(v5.0) Bishop vs Knight.071,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,560,
469,r1br4/pp3pk1/2p2npp/2n1N3/P2q4/2NB2QP/1PP2PP1/R3R1K1 b - -,c5d3,,STS(v5.0) Bishop vs Knight.072,,sts_old,40,unix,done,2022-11-17,yes,,,,ok,,,,,2253,
470,r1r3k1/1nqb1ppp/3p4/pp1Pb3/1P2Pp2/R1PB1N1P/Q4PP1/1N2R1K1 w - -,f3e5,yes,STS(v5.0) Bishop vs Knight.073,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,363,
471,r1r3k1/1p1b1p2/1q1p3p/1NpPb1pB/PpP1Pp2/1P6/R4PPP/1Q1R3K b - -,d7b5,yes,STS(v5.0) Bishop vs Knight.074,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,235,
472,r1r4k/pb1nq1pp/1p1bp3/1N1p1p2/3Pn3/1P1NB1P1/PQ2PPBP/R4RK1 w - -,b5d6,,STS(v5.0) Bishop vs Knight.075,,sts_old,40,unix,done,2022-11-17,yes,,,,ok,,,,,450,
473,r2q1rk1/2pb2b1/1p1p2pp/p1nP1p1n/2P5/2N1B1P1/PPQ1B2P/R3NRK1 w - -,e2h5,yes,STS(v5.0) Bishop vs Knight.076,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,985,
474,r2q1rk1/pb3pbp/1pn1p1p1/2pnN3/2N2B2/3P2P1/PPP2PBP/R2QR1K1 b - -,d5f4,yes,STS(v5.0) Bishop vs Knight.077,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,There is new bm.,ferdy,yes,,340,
475,r2q1rk1/pppb1ppp/1b1p2n1/3Pp3/2N1P1n1/2PB1N2/PP3PPP/R1BQR1K1 w - -,c4b6,,STS(v5.0) Bishop vs Knight.078,,sts_old,40,unix,done,2022-11-17,yes,,,,ok,,,,,590,
476,r2r2k1/1p2qppp/2n1bn2/p2Bp1N1/2P5/R5P1/1P1NPP1P/1Q1R2K1 w - -,g5e6,yes,STS(v5.0) Bishop vs Knight.079,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,279,
477,r2r2k1/1pq2pp1/p1b1p2p/3n4/8/1QB3P1/PP2PPBP/R3R1K1 b - -,d5c3,,STS(v5.0) Bishop vs Knight.080,,sts_old,40,unix,done,2022-11-17,yes,ferdy,2022-12-2,44,ok,,,,,127,1800
478,r2r2k1/ppp2pb1/2n1p1pp/1B2P3/3PNn1q/2Q1BP2/PP3P1P/2R1K2R w K -,e3f4,yes,STS(v5.0) Bishop vs Knight.081,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,There is new bm.,ferdy,yes,,1550,
479,r3k2r/ppqbnpb1/n1p1p2p/P2pP1p1/3P4/1P1BBN1P/1NPQ1PP1/R3K2R w KQkq -,d3a6,,STS(v5.0) Bishop vs Knight.082,,sts_old,40,unix,done,2022-11-17,yes,,,,ok,new bm,ferdy,yes,,740,
480,r3kb1B/1p1b3p/pqnpp1p1/7n/8/2NRp3/PPP1B3/1K1RQ3 w q -,e2h5,yes,STS(v5.0) Bishop vs Knight.083,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,429,
481,r3qrk1/1pp2bp1/p1n1p2p/2Pp1pbP/1P1P4/P1NBPN2/2Q2PP1/2R1K2R w K -,f3g5,yes,STS(v5.0) Bishop vs Knight.084,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,559,
482,r3r1k1/p1q3bp/2p1bpp1/2nnp3/2N1N3/2PB2B1/PPQ2PPP/R3R1K1 b - -,c5d3,yes,STS(v5.0) Bishop vs Knight.085,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,845,
483,r3r1k1/pp3pbp/2p3p1/P3p3/1n2P1n1/2N1B3/1PPR1PPP/R3N1K1 b - -,g4e3,yes,STS(v5.0) Bishop vs Knight.086,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,173,
484,r3r1k1/ppq2pb1/2p1b1p1/P3n2p/2PN1B2/7P/1P1QBPP1/R2R2K1 w - -,d4e6,yes,STS(v5.0) Bishop vs Knight.087,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,478,
485,r3r2k/6p1/q3pp1p/1b1pn2P/3Q2B1/1P6/1BP2PP1/1K1RR3 b - -,e5g4,yes,STS(v5.0) Bishop vs Knight.088,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,193,
486,r3rbk1/1p3pp1/1qp1b2p/p1Nn4/2Rp4/P2P1BP1/1P1BPP1P/2Q1R1K1 b - -,f8c5,yes,STS(v5.0) Bishop vs Knight.089,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,347,
487,r4r1k/1p2b1pp/pBq3n1/2PNp3/2N1Ppn1/1Q4P1/PP1R3P/5RK1 w - -,d5e7,yes,STS(v5.0) Bishop vs Knight.090,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,1095,
488,r4r2/p1n1q1bk/6pp/1pp2b2/2P1p3/P3N1P1/R2QPPBP/2BR2K1 w - -,e3f5,yes,STS(v5.0) Bishop vs Knight.091,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,352,
489,r4r2/p3pp1k/1nR1b2p/5Np1/4P3/5NP1/Pb3PBP/5RK1 b - -,e6f5,yes,STS(v5.0) Bishop vs Knight.092,,sts_old,40,unix,done,2022-10-31,yes,ferdy,2022-11-29,46,ok,,,,,64,1200
490,r4rk1/1bq2pp1/1p1bpn1p/p2nN3/P1BP4/5NP1/1P1BQPKP/R3R3 b - -,d6e5,yes,STS(v5.0) Bishop vs Knight.093,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,275,
491,r4rk1/1p2bppp/p2p1nn1/3P4/2PN1B2/8/PP2B1PP/R4R1K b - -,g6f4,yes,STS(v5.0) Bishop vs Knight.094,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,286,
492,r4rk1/1ppbq1bp/1n4p1/p1NPpp2/1n6/1PN1P1PP/PB3PB1/R2Q1RK1 w - -,c5d7,yes,STS(v5.0) Bishop vs Knight.095,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,799,
493,r4rk1/ppq1ppbp/1np1P1p1/2Nb4/Pn6/3B1N1P/1PP1QPP1/R1B1R1K1 b - -,b4d3,yes,STS(v5.0) Bishop vs Knight.096,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,590,
494,r5k1/pp1n1rpp/2pb1q2/2N5/1P3B2/P2P2P1/3Q1PKP/1R2R3 b - -,d6c5,yes,STS(v5.0) Bishop vs Knight.097,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,,ferdy,no,,793,
495,r5k1/pp2q1bp/n2p2p1/2pPpr2/2P1Nn2/PQ3N1P/1P1B1PP1/1R2R1K1 w - -,d2f4,yes,STS(v5.0) Bishop vs Knight.098,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,1738,
496,r6r/4bkpp/2p1np2/p1p5/2P1NB2/6P1/PP2P2P/3R1R1K b - -,e6f4,,STS(v5.0) Bishop vs Knight.099,,sts_old,40,unix,done,2022-11-17,yes,ferdy,2022-11-29,47,ok,,,,,69,1200
497,rnq1k2r/p3ppbp/1p2bnp1/2p3N1/4P3/3BB2P/P1QN1PP1/1R3RK1 w kq -,g5e6,yes,STS(v5.0) Bishop vs Knight.100,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,540,
498,1k1r1r2/p1p5/Bpnbb3/3p2pp/3P4/P1N1NPP1/1PP4P/2KR1R2 w - -,c3d5,yes,STS(v6.0) Recapturing.001,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,250,
499,1k1r4/4rp2/1p1qbnp1/p2p3p/P2P4/1Nn2P2/1P1QBRPP/2R3K1 w - -,c1c3,yes,STS(v6.0) Recapturing.002,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,2349,
500,1k1rr3/pp2qpp1/1b2p3/4N2p/2R1n2P/P2R2P1/1PP1QP2/1K6 w - -,c4e4,yes,STS(v6.0) Recapturing.003,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,2380,
501,1k3rn1/3r1p2/p2p1np1/Pp1P3p/1Pp1PP2/2P1R1bP/2B2K1B/6R1 w - -,h2g3,yes,STS(v6.0) Recapturing.004,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,8905,
502,1q2rnk1/5rb1/bp1p1np1/pNpP2Bp/P1P1Pp1P/3B2P1/3QNRR1/7K w - -,g3f4,yes,STS(v6.0) Recapturing.005,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,932,
503,1q4k1/1r3pp1/3p1n1p/2pPpP2/b1PnP3/rPB1R1NP/3Q2PK/1R3B2 b - -,a4b3,yes,STS(v6.0) Recapturing.006,,sts_old,40,unix,done,2022-10-31,yes,ferdy,2022-11-30,43,ok,,,,,108,1200
504,1qr2rk1/4ppbp/6p1/pp1b4/2NP4/4B3/PPB2PPP/2RQR2K b - -,b5c4,yes,STS(v6.0) Recapturing.007,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,1150,
505,1qrr3k/6p1/1p1pp2p/pNn5/Pn1bP1PP/5Q2/1PP1N3/1K1R2R1 w - -,e2d4,yes,STS(v6.0) Recapturing.008,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,3329,
506,1r1q2k1/5pp1/2bp2rp/p1pNp2n/2PBP3/1P1B1P2/P2Q2PP/1R3RK1 b - -,c5d4,,STS(v6.0) Recapturing.009,,sts_old,40,unix,done,2022-11-17,yes,,,,ok,,,,,1473,
507,1r1r2k1/5pb1/6p1/p1pb2Pp/PpB1PR2/7P/1PP5/2KR4 w - -,e4d5,yes,STS(v6.0) Recapturing.010,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,There is new bm.,ferdy,yes,,7766,
508,1r2r1k1/pb1n1pp1/1p1p2np/2P1p1q1/P1P1P3/2P2PP1/2QNBB1P/1R1R3K b - -,d7c5,yes,STS(v6.0) Recapturing.011,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,538,
509,1r2r2k/1p3pbp/b5p1/p2np3/P1P1B1PP/1PN2P2/6K1/3R1R2 w - -,c3d5,yes,STS(v6.0) Recapturing.012,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,2189,
510,1r2rbk1/1b1q1p2/3pn1p1/1p5p/1p2P2P/P1P1BPP1/4QNBK/2R1R3 w - -,a3b4,,STS(v6.0) Recapturing.013,,sts_old,40,unix,done,2022-11-17,yes,,,,ok,,,,,1134,
511,1r3nk1/3r1qb1/bp1p1np1/pNpP2Bp/P1P1Pp1P/7N/1P1QBR2/6RK w - -,f2f4,yes,STS(v6.0) Recapturing.014,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,543,
512,1r3r2/1b4bk/p1n2ppp/qp1p4/4PN2/1B2B1P1/P3QP2/1R1R2K1 w - -,e4d5,,STS(v6.0) Recapturing.015,,sts_old,40,unix,done,2022-11-17,yes,,,,ok,new bm,ferdy,yes,,1281,
513,1r3rk1/p1qnppbp/p5p1/2pPP3/2P5/4R2P/PP2Q1P1/1RBN3K b - -,g7e5,yes,STS(v6.0) Recapturing.016,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,303,
514,1r4k1/1rq2ppp/3p1n2/2pPp3/p1PnP3/PPB4P/3Q1PP1/1R2RBK1 b - -,a4b3,yes,STS(v6.0) Recapturing.017,,sts_old,40,unix,done,2022-10-31,yes,,,,ok,There is new bm.,ferdy,yes,,595,
515,1r4k1/pr3ppp/q2p1n2/2pPp3/b1PnP3/PPB3NP/3Q1PP1/1R2RBK1 b - -,d4b3,,STS(v6.0) Recapturing.018,,sts_old,38,ferdy,done,2022-11-05,yes,,,,ok,There is new bm.,ferdy,yes,,,
516,1rq2rk1/4bp2/2np2p1/p1p1p3/P1PNP1P1/1PB2P2/1Q3K1P/R2R1N2 b - -,e5d4,yes,STS(v6.0) Recapturing.019,,sts_old,40,unix,done,2022-11-01,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,2480,
517,1rq2rk1/4bp2/2np2p1/p1p1p3/P1PNP1P1/1PB2P2/1Q4P1/R2R1NK1 b - -,c5d4,yes,STS(v6.0) Recapturing.020,,sts_old,40,unix,done,2022-11-01,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,5276,
518,1rq2rk1/4bp2/2np2p1/p1p1p3/P1PNP1P1/1PB2P2/1Q4PK/R2R1N2 b - -,c5d4,yes,STS(v6.0) Recapturing.021,,sts_old,40,unix,done,2022-11-01,yes,,,,ok,Use the latest analysis to generate points,ferdy,no,,4784,
519,1rq2rk1/4bp2/3pn1p1/p1p1p3/P1PNP1P1/1PB2P2/1Q5P/R2R1NK1 b - -,e6d4,yes,STS(v6.0) Recapturing.022,,sts_old,40,unix,done,2022-11-01,yes,,,,ok,There is new bm.,ferdy,yes,,2037,
